"procent_chorych","sd","N","beta","gamma","siec_typ","l_krokow","proc_chorych0","k_sr","lambda_kr","lambda","wsp"
0.6755,0.0138744369255116,1000,0.5,0.2,"fg",100,0.05,999,0.001001001001001,2.5,2497.5
0.5413,0.0142754645769898,1000,0.5,0.3,"fg",100,0.05,999,0.001001001001001,1.66666666666667,1665
0.4386,0.0161534310080965,1000,0.5,0.4,"fg",100,0.05,999,0.001001001001001,1.25,1248.75
0.3355,0.0122587836989555,1000,0.5,0.5,"fg",100,0.05,999,0.001001001001001,1,999
0.2453,0.0174550215633719,1000,0.5,0.6,"fg",100,0.05,999,0.001001001001001,0.833333333333333,832.5
0.1801,0.0118925747142212,1000,0.5,0.7,"fg",100,0.05,999,0.001001001001001,0.714285714285714,713.571428571429
0.1102,0.0097729786202115,1000,0.5,0.8,"fg",100,0.05,999,0.001001001001001,0.625,624.375
0.054,0.00579271573232759,1000,0.5,0.9,"fg",100,0.05,999,0.001001001001001,0.555555555555556,555
0,0,1000,0.5,1,"fg",100,0.05,999,0.001001001001001,0.5,499.5
1,0,1000,0.6,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.8486,0.0102436972492032,1000,0.6,0.1,"fg",100,0.05,999,0.001001001001001,6,5994
0.6963,0.0114508612000243,1000,0.6,0.2,"fg",100,0.05,999,0.001001001001001,3,2997
0.5803,0.012101882314564,1000,0.6,0.3,"fg",100,0.05,999,0.001001001001001,2,1998
0.469,0.0147271480229163,1000,0.6,0.4,"fg",100,0.05,999,0.001001001001001,1.5,1498.5
0.3841,0.0147154491757624,1000,0.6,0.5,"fg",100,0.05,999,0.001001001001001,1.2,1198.8
0.2804,0.0100906997885291,1000,0.6,0.6,"fg",100,0.05,999,0.001001001001001,1,999
0.2051,0.0143561833368065,1000,0.6,0.7,"fg",100,0.05,999,0.001001001001001,0.857142857142857,856.285714285714
0.1338,0.0131131825105714,1000,0.6,0.8,"fg",100,0.05,999,0.001001001001001,0.75,749.25
0.0592,0.00649444206824403,1000,0.6,0.9,"fg",100,0.05,999,0.001001001001001,0.666666666666667,666
0,0,1000,0.6,1,"fg",100,0.05,999,0.001001001001001,0.6,599.4
1,0,1000,0.7,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.864,0.00977525219907679,1000,0.7,0.1,"fg",100,0.05,999,0.001001001001001,7,6993
0.7413,0.0143375962652973,1000,0.7,0.2,"fg",100,0.05,999,0.001001001001001,3.5,3496.5
0.619,0.0163639169448448,1000,0.7,0.3,"fg",100,0.05,999,0.001001001001001,2.33333333333333,2331
0.5126,0.0127558265553868,1000,0.7,0.4,"fg",100,0.05,999,0.001001001001001,1.75,1748.25
0.4143,0.0186073462195267,1000,0.7,0.5,"fg",100,0.05,999,0.001001001001001,1.4,1398.6
0.3125,0.00989107341663853,1000,0.7,0.6,"fg",100,0.05,999,0.001001001001001,1.16666666666667,1165.5
