krok,proc_chorych
0.0,0.063
1.0,0.136
2.0,0.267
3.0,0.431
4.0,0.576
5.0,0.701
6.0,0.79
7.0,0.806
8.0,0.849
9.0,0.858
10.0,0.851
11.0,0.863
12.0,0.884
13.0,0.863
14.0,0.866
15.0,0.863
16.0,0.86
17.0,0.858
18.0,0.867
19.0,0.856
20.0,0.86
21.0,0.855
22.0,0.856
23.0,0.863
24.0,0.867
25.0,0.857
26.0,0.856
27.0,0.864
28.0,0.871
29.0,0.854
30.0,0.863
31.0,0.867
32.0,0.845
33.0,0.872
34.0,0.867
35.0,0.871
36.0,0.857
37.0,0.854
38.0,0.868
39.0,0.851
40.0,0.847
41.0,0.862
42.0,0.864
43.0,0.874
44.0,0.874
45.0,0.862
46.0,0.853
47.0,0.868
48.0,0.871
49.0,0.872
50.0,0.866
51.0,0.844
52.0,0.85
53.0,0.859
54.0,0.882
55.0,0.885
56.0,0.876
57.0,0.873
58.0,0.865
59.0,0.87
60.0,0.86
61.0,0.863
62.0,0.849
63.0,0.851
64.0,0.87
65.0,0.886
66.0,0.87
67.0,0.859
68.0,0.868
69.0,0.858
70.0,0.884
71.0,0.868
72.0,0.86
73.0,0.858
74.0,0.866
75.0,0.865
76.0,0.868
77.0,0.877
78.0,0.892
79.0,0.877
80.0,0.87
81.0,0.859
82.0,0.872
83.0,0.86
84.0,0.872
85.0,0.867
86.0,0.867
87.0,0.884
88.0,0.874
89.0,0.855
90.0,0.859
91.0,0.859
92.0,0.863
93.0,0.883
94.0,0.886
95.0,0.859
96.0,0.855
97.0,0.865
98.0,0.871
99.0,0.877
100.0,0.869
