"","krok","proc_chorych"
"1",0,0.05025
"2",1,0.04538
"3",2,0.04093
"4",3,0.03657
"5",4,0.03289
"6",5,0.0294
"7",6,0.02636
"8",7,0.02385
"9",8,0.02167
"10",9,0.01948
"11",10,0.01751
"12",11,0.01606
"13",12,0.01443
"14",13,0.01308
"15",14,0.01174
"16",15,0.01066
"17",16,0.00967
"18",17,0.00857
"19",18,0.00774
"20",19,0.00715
"21",20,0.00647
"22",21,0.00585
"23",22,0.00526
"24",23,0.0047
"25",24,0.0042
"26",25,0.00374
"27",26,0.00339
"28",27,0.00293
"29",28,0.00266
"30",29,0.00241
"31",30,0.00208
"32",31,0.00186
"33",32,0.00169
"34",33,0.00153
"35",34,0.00137
"36",35,0.00124
"37",36,0.00107
"38",37,0.00097
"39",38,0.00088
"40",39,0.00084
"41",40,0.00071
"42",41,0.00061
"43",42,0.00054
"44",43,0.00048
"45",44,0.00044
"46",45,0.00038
"47",46,0.00035
"48",47,0.00031
"49",48,0.00028
"50",49,0.00023
"51",50,0.00019
"52",51,0.00017
"53",52,0.00013
"54",53,0.00011
"55",54,9e-05
"56",55,9e-05
"57",56,7e-05
"58",57,7e-05
"59",58,7e-05
"60",59,7e-05
"61",60,7e-05
"62",61,7e-05
"63",62,6e-05
"64",63,6e-05
"65",64,6e-05
"66",65,5e-05
"67",66,5e-05
"68",67,5e-05
"69",68,5e-05
"70",69,5e-05
"71",70,5e-05
"72",71,5e-05
"73",72,4e-05
"74",73,4e-05
"75",74,4e-05
"76",75,4e-05
"77",76,4e-05
"78",77,4e-05
"79",78,4e-05
"80",79,4e-05
"81",80,4e-05
"82",81,4e-05
"83",82,4e-05
"84",83,4e-05
"85",84,4e-05
"86",85,4e-05
"87",86,4e-05
"88",87,4e-05
"89",88,3e-05
"90",89,2e-05
"91",90,1e-05
"92",91,1e-05
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
