krok,proc_chorych
0.0,0.056
1.0,0.048
2.0,0.06
3.0,0.049
4.0,0.054
5.0,0.06
6.0,0.063
7.0,0.065
8.0,0.062
9.0,0.05
10.0,0.053
11.0,0.06
12.0,0.057
13.0,0.067
14.0,0.059
15.0,0.046
16.0,0.059
17.0,0.063
18.0,0.074
19.0,0.068
20.0,0.076
21.0,0.062
22.0,0.067
23.0,0.062
24.0,0.066
25.0,0.064
26.0,0.061
27.0,0.055
28.0,0.053
29.0,0.055
30.0,0.051
31.0,0.067
32.0,0.069
33.0,0.062
34.0,0.073
35.0,0.069
36.0,0.093
37.0,0.081
38.0,0.072
39.0,0.073
40.0,0.068
41.0,0.073
42.0,0.081
43.0,0.085
44.0,0.082
45.0,0.08
46.0,0.085
47.0,0.076
48.0,0.063
49.0,0.075
50.0,0.079
51.0,0.087
52.0,0.089
53.0,0.093
54.0,0.083
55.0,0.073
56.0,0.07
57.0,0.083
58.0,0.086
59.0,0.081
60.0,0.087
61.0,0.086
62.0,0.074
63.0,0.078
64.0,0.073
65.0,0.067
66.0,0.057
67.0,0.061
68.0,0.077
69.0,0.089
70.0,0.088
71.0,0.096
72.0,0.088
73.0,0.098
74.0,0.103
75.0,0.097
76.0,0.099
77.0,0.099
78.0,0.099
79.0,0.107
80.0,0.103
81.0,0.09
82.0,0.098
83.0,0.092
84.0,0.091
85.0,0.085
86.0,0.076
87.0,0.091
88.0,0.079
89.0,0.072
90.0,0.071
91.0,0.088
92.0,0.087
93.0,0.06
94.0,0.075
95.0,0.077
96.0,0.085
97.0,0.081
98.0,0.076
99.0,0.104
100.0,0.093
