"","krok","proc_chorych"
"1",0,0.0472
"2",1,0.0427
"3",2,0.0387
"4",3,0.0355
"5",4,0.032
"6",5,0.0284
"7",6,0.0255
"8",7,0.0225
"9",8,0.0204
"10",9,0.018
"11",10,0.016
"12",11,0.015
"13",12,0.0132
"14",13,0.0113
"15",14,0.0099
"16",15,0.0083
"17",16,0.0075
"18",17,0.0061
"19",18,0.0055
"20",19,0.0048
"21",20,0.0043
"22",21,0.0038
"23",22,0.0035
"24",23,0.0031
"25",24,0.0026
"26",25,0.0024
"27",26,0.0023
"28",27,0.0023
"29",28,0.0021
"30",29,0.0016
"31",30,0.0015
"32",31,0.0013
"33",32,0.0011
"34",33,0.001
"35",34,9e-04
"36",35,9e-04
"37",36,8e-04
"38",37,8e-04
"39",38,8e-04
"40",39,8e-04
"41",40,9e-04
"42",41,8e-04
"43",42,7e-04
"44",43,6e-04
"45",44,5e-04
"46",45,4e-04
"47",46,4e-04
"48",47,4e-04
"49",48,3e-04
"50",49,3e-04
"51",50,3e-04
"52",51,3e-04
"53",52,3e-04
"54",53,3e-04
"55",54,3e-04
"56",55,2e-04
"57",56,2e-04
"58",57,2e-04
"59",58,1e-04
"60",59,1e-04
"61",60,1e-04
"62",61,1e-04
"63",62,1e-04
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,0
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
