krok,proc_chorych
0.0,0.047
1.0,0.053
2.0,0.066
3.0,0.077
4.0,0.086
5.0,0.097
6.0,0.115
7.0,0.13
8.0,0.144
9.0,0.165
10.0,0.177
11.0,0.193
12.0,0.209
13.0,0.233
14.0,0.244
15.0,0.259
16.0,0.273
17.0,0.288
18.0,0.297
19.0,0.308
20.0,0.327
21.0,0.347
22.0,0.362
23.0,0.38
24.0,0.407
25.0,0.425
26.0,0.449
27.0,0.466
28.0,0.48
29.0,0.497
30.0,0.517
31.0,0.533
32.0,0.549
33.0,0.57
34.0,0.584
35.0,0.601
36.0,0.62
37.0,0.632
38.0,0.646
39.0,0.659
40.0,0.671
41.0,0.681
42.0,0.692
43.0,0.703
44.0,0.716
45.0,0.726
46.0,0.741
47.0,0.75
48.0,0.765
49.0,0.775
50.0,0.785
51.0,0.792
52.0,0.807
53.0,0.815
54.0,0.825
55.0,0.834
56.0,0.842
57.0,0.853
58.0,0.861
59.0,0.869
60.0,0.872
61.0,0.885
62.0,0.89
63.0,0.893
64.0,0.901
65.0,0.906
66.0,0.907
67.0,0.909
68.0,0.916
69.0,0.917
70.0,0.92
71.0,0.923
72.0,0.923
73.0,0.926
74.0,0.929
75.0,0.93
76.0,0.931
77.0,0.935
78.0,0.936
79.0,0.937
80.0,0.941
81.0,0.943
82.0,0.948
83.0,0.951
84.0,0.955
85.0,0.956
86.0,0.959
87.0,0.961
88.0,0.961
89.0,0.962
90.0,0.962
91.0,0.962
92.0,0.962
93.0,0.962
94.0,0.963
95.0,0.965
96.0,0.965
97.0,0.966
98.0,0.968
99.0,0.971
100.0,0.974
