krok,proc_chorych
0.0,0.044
1.0,0.041
2.0,0.042
3.0,0.042
4.0,0.042
5.0,0.042
6.0,0.048
7.0,0.049
8.0,0.053
9.0,0.051
10.0,0.059
11.0,0.06
12.0,0.062
13.0,0.069
14.0,0.073
15.0,0.08
16.0,0.081
17.0,0.08
18.0,0.09
19.0,0.095
20.0,0.1
21.0,0.105
22.0,0.11
23.0,0.115
24.0,0.121
25.0,0.128
26.0,0.129
27.0,0.127
28.0,0.128
29.0,0.12
30.0,0.127
31.0,0.129
32.0,0.137
33.0,0.135
34.0,0.132
35.0,0.134
36.0,0.135
37.0,0.154
38.0,0.154
39.0,0.159
40.0,0.159
41.0,0.164
42.0,0.17
43.0,0.176
44.0,0.167
45.0,0.168
46.0,0.169
47.0,0.171
48.0,0.158
49.0,0.158
50.0,0.174
51.0,0.168
52.0,0.16
53.0,0.153
54.0,0.157
55.0,0.155
56.0,0.155
57.0,0.157
58.0,0.158
59.0,0.161
60.0,0.166
61.0,0.153
62.0,0.149
63.0,0.15
64.0,0.154
65.0,0.159
66.0,0.161
67.0,0.165
68.0,0.173
69.0,0.178
70.0,0.178
71.0,0.176
72.0,0.171
73.0,0.182
74.0,0.193
75.0,0.19
76.0,0.183
77.0,0.183
78.0,0.196
79.0,0.201
80.0,0.201
81.0,0.205
82.0,0.197
83.0,0.21
84.0,0.219
85.0,0.216
86.0,0.223
87.0,0.218
88.0,0.207
89.0,0.211
90.0,0.2
91.0,0.214
92.0,0.213
93.0,0.203
94.0,0.188
95.0,0.183
96.0,0.18
97.0,0.184
98.0,0.179
99.0,0.179
100.0,0.17
