"","krok","proc_chorych"
"1",0,0.054
"2",1,0.05
"3",2,0.051
"4",3,0.047
"5",4,0.049
"6",5,0.061
"7",6,0.049
"8",7,0.035
"9",8,0.043
"10",9,0.053
"11",10,0.054
"12",11,0.052
"13",12,0.05
"14",13,0.059
"15",14,0.051
"16",15,0.05
"17",16,0.046
"18",17,0.048
"19",18,0.043
"20",19,0.054
"21",20,0.047
"22",21,0.05
"23",22,0.042
"24",23,0.04
"25",24,0.044
"26",25,0.042
"27",26,0.056
"28",27,0.048
"29",28,0.043
"30",29,0.06
"31",30,0.042
"32",31,0.051
"33",32,0.046
"34",33,0.053
"35",34,0.049
"36",35,0.047
"37",36,0.045
"38",37,0.048
"39",38,0.035
"40",39,0.05
"41",40,0.047
"42",41,0.058
"43",42,0.044
"44",43,0.052
"45",44,0.048
"46",45,0.041
"47",46,0.046
"48",47,0.05
"49",48,0.047
"50",49,0.065
"51",50,0.049
"52",51,0.062
"53",52,0.044
"54",53,0.047
"55",54,0.058
"56",55,0.047
"57",56,0.035
"58",57,0.049
"59",58,0.043
"60",59,0.045
"61",60,0.053
"62",61,0.065
"63",62,0.067
"64",63,0.059
"65",64,0.051
"66",65,0.05
"67",66,0.05
"68",67,0.045
"69",68,0.042
"70",69,0.04
"71",70,0.054
"72",71,0.057
"73",72,0.041
"74",73,0.036
"75",74,0.046
"76",75,0.044
"77",76,0.046
"78",77,0.034
"79",78,0.039
"80",79,0.06
"81",80,0.039
"82",81,0.054
"83",82,0.054
"84",83,0.053
"85",84,0.055
"86",85,0.052
"87",86,0.041
"88",87,0.043
"89",88,0.058
"90",89,0.044
"91",90,0.053
"92",91,0.039
"93",92,0.044
"94",93,0.042
"95",94,0.046
"96",95,0.039
"97",96,0.055
"98",97,0.05
"99",98,0.047
"100",99,0.054
"101",100,0.048
