krok,proc_chorych
0.0,0.046
1.0,0.073
2.0,0.103
3.0,0.156
4.0,0.181
5.0,0.202
6.0,0.229
7.0,0.234
8.0,0.233
9.0,0.238
10.0,0.255
11.0,0.262
12.0,0.262
13.0,0.293
14.0,0.302
15.0,0.329
16.0,0.348
17.0,0.324
18.0,0.32
19.0,0.332
20.0,0.363
21.0,0.345
22.0,0.325
23.0,0.311
24.0,0.334
25.0,0.339
26.0,0.356
27.0,0.363
28.0,0.348
29.0,0.347
30.0,0.323
31.0,0.327
32.0,0.302
33.0,0.295
34.0,0.285
35.0,0.293
36.0,0.306
37.0,0.335
38.0,0.345
39.0,0.377
40.0,0.369
41.0,0.333
42.0,0.343
43.0,0.354
44.0,0.376
45.0,0.358
46.0,0.332
47.0,0.337
48.0,0.347
49.0,0.36
50.0,0.356
51.0,0.359
52.0,0.36
53.0,0.335
54.0,0.351
55.0,0.339
56.0,0.331
57.0,0.32
58.0,0.311
59.0,0.307
60.0,0.306
61.0,0.306
62.0,0.292
63.0,0.289
64.0,0.312
65.0,0.312
66.0,0.315
67.0,0.318
68.0,0.315
69.0,0.333
70.0,0.345
71.0,0.318
72.0,0.312
73.0,0.328
74.0,0.324
75.0,0.327
76.0,0.326
77.0,0.339
78.0,0.36
79.0,0.351
80.0,0.325
81.0,0.342
82.0,0.323
83.0,0.343
84.0,0.326
85.0,0.298
86.0,0.298
87.0,0.292
88.0,0.305
89.0,0.313
90.0,0.315
91.0,0.307
92.0,0.314
93.0,0.325
94.0,0.321
95.0,0.35
96.0,0.354
97.0,0.37
98.0,0.342
99.0,0.363
100.0,0.371
