"","krok","proc_chorych"
"1",0,0.047
"2",1,0.086
"3",2,0.179
"4",3,0.26
"5",4,0.281
"6",5,0.323
"7",6,0.326
"8",7,0.318
"9",8,0.312
"10",9,0.303
"11",10,0.312
"12",11,0.328
"13",12,0.338
"14",13,0.364
"15",14,0.35
"16",15,0.344
"17",16,0.367
"18",17,0.355
"19",18,0.364
"20",19,0.352
"21",20,0.365
"22",21,0.367
"23",22,0.372
"24",23,0.356
"25",24,0.331
"26",25,0.339
"27",26,0.337
"28",27,0.341
"29",28,0.353
"30",29,0.338
"31",30,0.376
"32",31,0.381
"33",32,0.358
"34",33,0.365
"35",34,0.38
"36",35,0.373
"37",36,0.388
"38",37,0.37
"39",38,0.369
"40",39,0.352
"41",40,0.37
"42",41,0.406
"43",42,0.377
"44",43,0.39
"45",44,0.399
"46",45,0.4
"47",46,0.424
"48",47,0.422
"49",48,0.408
"50",49,0.392
"51",50,0.403
"52",51,0.401
"53",52,0.378
"54",53,0.366
"55",54,0.367
"56",55,0.373
"57",56,0.398
"58",57,0.395
"59",58,0.357
"60",59,0.368
"61",60,0.368
"62",61,0.364
"63",62,0.381
"64",63,0.362
"65",64,0.36
"66",65,0.374
"67",66,0.377
"68",67,0.369
"69",68,0.404
"70",69,0.379
"71",70,0.393
"72",71,0.4
"73",72,0.376
"74",73,0.374
"75",74,0.332
"76",75,0.357
"77",76,0.37
"78",77,0.38
"79",78,0.404
"80",79,0.383
"81",80,0.381
"82",81,0.39
"83",82,0.374
"84",83,0.365
"85",84,0.386
"86",85,0.367
"87",86,0.362
"88",87,0.366
"89",88,0.353
"90",89,0.353
"91",90,0.357
"92",91,0.393
"93",92,0.42
"94",93,0.39
"95",94,0.381
"96",95,0.366
"97",96,0.353
"98",97,0.349
"99",98,0.358
"100",99,0.35
"101",100,0.361
