"","krok","proc_chorych"
"1",0,0.042
"2",1,0.024
"3",2,0.019
"4",3,0.021
"5",4,0.026
"6",5,0.023
"7",6,0.026
"8",7,0.025
"9",8,0.025
"10",9,0.013
"11",10,0.022
"12",11,0.017
"13",12,0.024
"14",13,0.023
"15",14,0.018
"16",15,0.026
"17",16,0.017
"18",17,0.015
"19",18,0.015
"20",19,0.026
"21",20,0.022
"22",21,0.021
"23",22,0.024
"24",23,0.023
"25",24,0.024
"26",25,0.024
"27",26,0.012
"28",27,0.016
"29",28,0.029
"30",29,0.025
"31",30,0.019
"32",31,0.024
"33",32,0.029
"34",33,0.024
"35",34,0.021
"36",35,0.039
"37",36,0.034
"38",37,0.027
"39",38,0.018
"40",39,0.026
"41",40,0.028
"42",41,0.03
"43",42,0.014
"44",43,0.024
"45",44,0.022
"46",45,0.019
"47",46,0.017
"48",47,0.015
"49",48,0.022
"50",49,0.031
"51",50,0.024
"52",51,0.018
"53",52,0.021
"54",53,0.026
"55",54,0.029
"56",55,0.028
"57",56,0.031
"58",57,0.03
"59",58,0.029
"60",59,0.024
"61",60,0.016
"62",61,0.032
"63",62,0.022
"64",63,0.023
"65",64,0.027
"66",65,0.025
"67",66,0.025
"68",67,0.036
"69",68,0.025
"70",69,0.023
"71",70,0.027
"72",71,0.017
"73",72,0.028
"74",73,0.029
"75",74,0.025
"76",75,0.016
"77",76,0.01
"78",77,0.023
"79",78,0.028
"80",79,0.032
"81",80,0.024
"82",81,0.022
"83",82,0.023
"84",83,0.024
"85",84,0.028
"86",85,0.019
"87",86,0.024
"88",87,0.035
"89",88,0.024
"90",89,0.022
"91",90,0.028
"92",91,0.026
"93",92,0.028
"94",93,0.032
"95",94,0.02
"96",95,0.03
"97",96,0.027
"98",97,0.026
"99",98,0.03
"100",99,0.03
"101",100,0.028
