"","krok","proc_chorych"
"1",0,0.05
"2",1,0.069
"3",2,0.072
"4",3,0.083
"5",4,0.072
"6",5,0.056
"7",6,0.078
"8",7,0.063
"9",8,0.071
"10",9,0.068
"11",10,0.08
"12",11,0.086
"13",12,0.093
"14",13,0.08
"15",14,0.081
"16",15,0.079
"17",16,0.069
"18",17,0.063
"19",18,0.085
"20",19,0.069
"21",20,0.064
"22",21,0.086
"23",22,0.078
"24",23,0.082
"25",24,0.085
"26",25,0.078
"27",26,0.105
"28",27,0.076
"29",28,0.088
"30",29,0.093
"31",30,0.072
"32",31,0.077
"33",32,0.079
"34",33,0.076
"35",34,0.08
"36",35,0.08
"37",36,0.089
"38",37,0.088
"39",38,0.079
"40",39,0.093
"41",40,0.088
"42",41,0.093
"43",42,0.079
"44",43,0.083
"45",44,0.074
"46",45,0.089
"47",46,0.081
"48",47,0.071
"49",48,0.081
"50",49,0.081
"51",50,0.079
"52",51,0.079
"53",52,0.083
"54",53,0.071
"55",54,0.062
"56",55,0.072
"57",56,0.072
"58",57,0.071
"59",58,0.079
"60",59,0.07
"61",60,0.079
"62",61,0.087
"63",62,0.079
"64",63,0.07
"65",64,0.073
"66",65,0.088
"67",66,0.078
"68",67,0.089
"69",68,0.088
"70",69,0.094
"71",70,0.097
"72",71,0.072
"73",72,0.084
"74",73,0.089
"75",74,0.082
"76",75,0.083
"77",76,0.059
"78",77,0.091
"79",78,0.07
"80",79,0.077
"81",80,0.095
"82",81,0.071
"83",82,0.079
"84",83,0.074
"85",84,0.085
"86",85,0.076
"87",86,0.076
"88",87,0.074
"89",88,0.071
"90",89,0.071
"91",90,0.061
"92",91,0.078
"93",92,0.078
"94",93,0.081
"95",94,0.076
"96",95,0.073
"97",96,0.078
"98",97,0.1
"99",98,0.072
"100",99,0.078
"101",100,0.088
