krok,proc_chorych
0.0,0.049
1.0,0.09
2.0,0.169
3.0,0.26
4.0,0.352
5.0,0.414
6.0,0.461
7.0,0.535
8.0,0.578
9.0,0.586
10.0,0.603
11.0,0.609
12.0,0.617
13.0,0.621
14.0,0.621
15.0,0.635
16.0,0.658
17.0,0.638
18.0,0.652
19.0,0.66
20.0,0.647
21.0,0.682
22.0,0.668
23.0,0.664
24.0,0.687
25.0,0.683
26.0,0.661
27.0,0.673
28.0,0.691
29.0,0.702
30.0,0.707
31.0,0.713
32.0,0.688
33.0,0.702
34.0,0.694
35.0,0.689
36.0,0.706
37.0,0.66
38.0,0.682
39.0,0.671
40.0,0.692
41.0,0.707
42.0,0.713
43.0,0.7
44.0,0.701
45.0,0.68
46.0,0.678
47.0,0.659
48.0,0.679
49.0,0.677
50.0,0.669
51.0,0.687
52.0,0.673
53.0,0.689
54.0,0.694
55.0,0.71
56.0,0.694
57.0,0.696
58.0,0.705
59.0,0.668
60.0,0.68
61.0,0.682
62.0,0.686
63.0,0.662
64.0,0.649
65.0,0.673
66.0,0.703
67.0,0.679
68.0,0.683
69.0,0.683
70.0,0.686
71.0,0.681
72.0,0.666
73.0,0.674
74.0,0.682
75.0,0.703
76.0,0.679
77.0,0.672
78.0,0.68
79.0,0.686
80.0,0.672
81.0,0.665
82.0,0.692
83.0,0.67
84.0,0.689
85.0,0.686
86.0,0.685
87.0,0.685
88.0,0.656
89.0,0.658
90.0,0.651
91.0,0.665
92.0,0.664
93.0,0.678
94.0,0.684
95.0,0.69
96.0,0.699
97.0,0.712
98.0,0.729
99.0,0.674
100.0,0.689
