"","krok","proc_chorych"
"1",0,0.0493610799551354
"2",1,0.0444439993590771
"3",2,0.0398874379105913
"4",3,0.0355311648774235
"5",4,0.0320461464508893
"6",5,0.0289316615926935
"7",6,0.0260775516744112
"8",7,0.0235338887998718
"9",8,0.021250600865246
"10",9,0.019077471559045
"11",10,0.0168943278320782
"12",11,0.015261977247236
"13",12,0.013719756449287
"14",13,0.0122075789136356
"15",14,0.0108656465310046
"16",15,0.00973401698445762
"17",16,0.00875260374939913
"18",17,0.00799150777119051
"19",18,0.00719035410991828
"20",19,0.0065494311809005
"21",20,0.00596859477647813
"22",21,0.00540778721358757
"23",22,0.00478689312610159
"24",23,0.00437630187469957
"25",24,0.00397572504406345
"26",25,0.00360519147572504
"27",26,0.00323465790738664
"28",27,0.00285410991828233
"29",28,0.00258372055760295
"30",29,0.00231333119692357
"31",30,0.00213307162313732
"32",31,0.00189272552475565
"33",32,0.0017425092132671
"34",33,0.00160230732254446
"35",34,0.00149214869411953
"36",35,0.00134193238263099
"37",36,0.00124178817497196
"38",37,0.00107154302195161
"39",38,0.000971398814292581
"40",39,0.000901297868931261
"41",40,0.000791139240506329
"42",41,0.000670966191315494
"43",42,0.00062089408748598
"44",43,0.000570821983656465
"45",44,0.000500721038295145
"46",45,0.000480692196763339
"47",46,0.000420605672167922
"48",47,0.000390562409870213
"49",48,0.000390562409870213
"50",49,0.000340490306040699
"51",50,0.000320461464508893
"52",51,0.000300432622977087
"53",52,0.000270389360679378
"54",53,0.000230331677615767
"55",54,0.000200288415318058
"56",55,0.000170245153020349
"57",56,0.000170245153020349
"58",57,0.000170245153020349
"59",58,0.000160230732254446
"60",59,0.000150216311488544
"61",60,0.000110158628424932
"62",61,0.000110158628424932
"63",62,0.000100144207659029
"64",63,8.01153661272232e-05
"65",64,8.01153661272232e-05
"66",65,7.01009453613203e-05
"67",66,6.00865245954174e-05
"68",67,6.00865245954174e-05
"69",68,5.00721038295145e-05
"70",69,3.00432622977087e-05
"71",70,3.00432622977087e-05
"72",71,3.00432622977087e-05
"73",72,2.00288415318058e-05
"74",73,2.00288415318058e-05
"75",74,2.00288415318058e-05
"76",75,2.00288415318058e-05
"77",76,2.00288415318058e-05
"78",77,1.00144207659029e-05
"79",78,1.00144207659029e-05
"80",79,1.00144207659029e-05
"81",80,1.00144207659029e-05
"82",81,1.00144207659029e-05
"83",82,1.00144207659029e-05
"84",83,1.00144207659029e-05
"85",84,1.00144207659029e-05
"86",85,1.00144207659029e-05
"87",86,1.00144207659029e-05
"88",87,1.00144207659029e-05
"89",88,1.00144207659029e-05
"90",89,1.00144207659029e-05
"91",90,1.00144207659029e-05
"92",91,1.00144207659029e-05
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
