"","krok","proc_chorych"
"1",0,0.047
"2",1,0.063
"3",2,0.066
"4",3,0.082
"5",4,0.084
"6",5,0.081
"7",6,0.088
"8",7,0.091
"9",8,0.107
"10",9,0.096
"11",10,0.098
"12",11,0.091
"13",12,0.085
"14",13,0.089
"15",14,0.08
"16",15,0.092
"17",16,0.104
"18",17,0.097
"19",18,0.091
"20",19,0.083
"21",20,0.073
"22",21,0.093
"23",22,0.087
"24",23,0.078
"25",24,0.077
"26",25,0.088
"27",26,0.1
"28",27,0.093
"29",28,0.094
"30",29,0.085
"31",30,0.086
"32",31,0.082
"33",32,0.084
"34",33,0.096
"35",34,0.1
"36",35,0.09
"37",36,0.095
"38",37,0.087
"39",38,0.097
"40",39,0.087
"41",40,0.097
"42",41,0.085
"43",42,0.076
"44",43,0.08
"45",44,0.1
"46",45,0.084
"47",46,0.079
"48",47,0.088
"49",48,0.078
"50",49,0.086
"51",50,0.093
"52",51,0.101
"53",52,0.094
"54",53,0.089
"55",54,0.086
"56",55,0.072
"57",56,0.1
"58",57,0.082
"59",58,0.073
"60",59,0.086
"61",60,0.096
"62",61,0.098
"63",62,0.09
"64",63,0.096
"65",64,0.092
"66",65,0.105
"67",66,0.095
"68",67,0.09
"69",68,0.086
"70",69,0.098
"71",70,0.106
"72",71,0.093
"73",72,0.095
"74",73,0.089
"75",74,0.086
"76",75,0.087
"77",76,0.095
"78",77,0.097
"79",78,0.078
"80",79,0.087
"81",80,0.082
"82",81,0.097
"83",82,0.093
"84",83,0.087
"85",84,0.1
"86",85,0.086
"87",86,0.091
"88",87,0.072
"89",88,0.081
"90",89,0.102
"91",90,0.087
"92",91,0.093
"93",92,0.084
"94",93,0.083
"95",94,0.089
"96",95,0.099
"97",96,0.093
"98",97,0.1
"99",98,0.072
"100",99,0.074
"101",100,0.079
