krok,proc_chorych
0.0,0.042
1.0,0.071
2.0,0.115
3.0,0.204
4.0,0.287
5.0,0.372
6.0,0.455
7.0,0.493
8.0,0.507
9.0,0.532
10.0,0.552
11.0,0.555
12.0,0.532
13.0,0.545
14.0,0.574
15.0,0.597
16.0,0.611
17.0,0.633
18.0,0.62
19.0,0.59
20.0,0.606
21.0,0.607
22.0,0.588
23.0,0.629
24.0,0.631
25.0,0.638
26.0,0.648
27.0,0.66
28.0,0.627
29.0,0.612
30.0,0.622
31.0,0.604
32.0,0.607
33.0,0.621
34.0,0.623
35.0,0.631
36.0,0.642
37.0,0.639
38.0,0.622
39.0,0.627
40.0,0.627
41.0,0.636
42.0,0.636
43.0,0.652
44.0,0.647
45.0,0.622
46.0,0.619
47.0,0.64
48.0,0.661
49.0,0.637
50.0,0.639
51.0,0.636
52.0,0.609
53.0,0.624
54.0,0.612
55.0,0.629
56.0,0.606
57.0,0.637
58.0,0.644
59.0,0.648
60.0,0.652
61.0,0.652
62.0,0.645
63.0,0.63
64.0,0.653
65.0,0.656
66.0,0.646
67.0,0.624
68.0,0.624
69.0,0.616
70.0,0.647
71.0,0.671
72.0,0.634
73.0,0.636
74.0,0.638
75.0,0.629
76.0,0.643
77.0,0.647
78.0,0.637
79.0,0.651
80.0,0.636
81.0,0.624
82.0,0.624
83.0,0.633
84.0,0.62
85.0,0.629
86.0,0.642
87.0,0.657
88.0,0.66
89.0,0.674
90.0,0.64
91.0,0.645
92.0,0.655
93.0,0.628
94.0,0.618
95.0,0.637
96.0,0.647
97.0,0.669
98.0,0.654
99.0,0.649
100.0,0.642
