krok,proc_chorych
0.0,0.061
1.0,0.111
2.0,0.169
3.0,0.28
4.0,0.383
5.0,0.463
6.0,0.548
7.0,0.626
8.0,0.68
9.0,0.724
10.0,0.771
11.0,0.763
12.0,0.788
13.0,0.796
14.0,0.812
15.0,0.809
16.0,0.8
17.0,0.81
18.0,0.831
19.0,0.807
20.0,0.823
21.0,0.829
22.0,0.825
23.0,0.846
24.0,0.835
25.0,0.816
26.0,0.814
27.0,0.834
28.0,0.829
29.0,0.835
30.0,0.848
31.0,0.83
32.0,0.83
33.0,0.837
34.0,0.842
35.0,0.811
36.0,0.809
37.0,0.824
38.0,0.825
39.0,0.823
40.0,0.823
41.0,0.818
42.0,0.832
43.0,0.832
44.0,0.832
45.0,0.822
46.0,0.829
47.0,0.817
48.0,0.803
49.0,0.808
50.0,0.831
51.0,0.829
52.0,0.821
53.0,0.813
54.0,0.838
55.0,0.829
56.0,0.841
57.0,0.841
58.0,0.829
59.0,0.842
60.0,0.851
61.0,0.84
62.0,0.831
63.0,0.83
64.0,0.838
65.0,0.826
66.0,0.826
67.0,0.82
68.0,0.818
69.0,0.806
70.0,0.812
71.0,0.809
72.0,0.813
73.0,0.816
74.0,0.815
75.0,0.824
76.0,0.819
77.0,0.828
78.0,0.845
79.0,0.84
80.0,0.816
81.0,0.818
82.0,0.831
83.0,0.823
84.0,0.842
85.0,0.829
86.0,0.814
87.0,0.847
88.0,0.856
89.0,0.822
90.0,0.82
91.0,0.821
92.0,0.817
93.0,0.793
94.0,0.81
95.0,0.816
96.0,0.811
97.0,0.825
98.0,0.831
99.0,0.828
100.0,0.829
