"","krok","proc_chorych"
"1",0,0.046
"2",1,0.078
"3",2,0.104
"4",3,0.121
"5",4,0.118
"6",5,0.102
"7",6,0.106
"8",7,0.114
"9",8,0.129
"10",9,0.121
"11",10,0.117
"12",11,0.112
"13",12,0.107
"14",13,0.122
"15",14,0.127
"16",15,0.142
"17",16,0.122
"18",17,0.111
"19",18,0.115
"20",19,0.129
"21",20,0.132
"22",21,0.115
"23",22,0.124
"24",23,0.141
"25",24,0.134
"26",25,0.155
"27",26,0.137
"28",27,0.149
"29",28,0.146
"30",29,0.13
"31",30,0.13
"32",31,0.129
"33",32,0.13
"34",33,0.122
"35",34,0.133
"36",35,0.121
"37",36,0.141
"38",37,0.143
"39",38,0.133
"40",39,0.137
"41",40,0.136
"42",41,0.125
"43",42,0.131
"44",43,0.131
"45",44,0.127
"46",45,0.13
"47",46,0.136
"48",47,0.133
"49",48,0.134
"50",49,0.138
"51",50,0.13
"52",51,0.124
"53",52,0.126
"54",53,0.122
"55",54,0.119
"56",55,0.148
"57",56,0.148
"58",57,0.15
"59",58,0.139
"60",59,0.14
"61",60,0.133
"62",61,0.132
"63",62,0.142
"64",63,0.126
"65",64,0.141
"66",65,0.147
"67",66,0.145
"68",67,0.15
"69",68,0.127
"70",69,0.121
"71",70,0.134
"72",71,0.15
"73",72,0.131
"74",73,0.141
"75",74,0.141
"76",75,0.132
"77",76,0.143
"78",77,0.121
"79",78,0.121
"80",79,0.12
"81",80,0.135
"82",81,0.124
"83",82,0.133
"84",83,0.134
"85",84,0.14
"86",85,0.136
"87",86,0.141
"88",87,0.124
"89",88,0.126
"90",89,0.142
"91",90,0.136
"92",91,0.141
"93",92,0.148
"94",93,0.13
"95",94,0.137
"96",95,0.124
"97",96,0.122
"98",97,0.119
"99",98,0.122
"100",99,0.123
"101",100,0.133
