"","krok","proc_chorych"
"1",0,0.041
"2",1,0.122
"3",2,0.129
"4",3,0.128
"5",4,0.109
"6",5,0.118
"7",6,0.12
"8",7,0.118
"9",8,0.115
"10",9,0.118
"11",10,0.099
"12",11,0.128
"13",12,0.103
"14",13,0.119
"15",14,0.134
"16",15,0.1
"17",16,0.133
"18",17,0.135
"19",18,0.128
"20",19,0.106
"21",20,0.117
"22",21,0.107
"23",22,0.104
"24",23,0.133
"25",24,0.118
"26",25,0.116
"27",26,0.133
"28",27,0.119
"29",28,0.106
"30",29,0.106
"31",30,0.109
"32",31,0.114
"33",32,0.119
"34",33,0.107
"35",34,0.111
"36",35,0.111
"37",36,0.105
"38",37,0.118
"39",38,0.105
"40",39,0.098
"41",40,0.099
"42",41,0.124
"43",42,0.119
"44",43,0.111
"45",44,0.127
"46",45,0.112
"47",46,0.135
"48",47,0.123
"49",48,0.127
"50",49,0.089
"51",50,0.11
"52",51,0.116
"53",52,0.124
"54",53,0.121
"55",54,0.127
"56",55,0.116
"57",56,0.116
"58",57,0.12
"59",58,0.108
"60",59,0.128
"61",60,0.121
"62",61,0.106
"63",62,0.121
"64",63,0.125
"65",64,0.115
"66",65,0.109
"67",66,0.109
"68",67,0.123
"69",68,0.107
"70",69,0.102
"71",70,0.111
"72",71,0.101
"73",72,0.106
"74",73,0.113
"75",74,0.104
"76",75,0.107
"77",76,0.096
"78",77,0.12
"79",78,0.117
"80",79,0.104
"81",80,0.121
"82",81,0.111
"83",82,0.105
"84",83,0.107
"85",84,0.114
"86",85,0.11
"87",86,0.091
"88",87,0.107
"89",88,0.121
"90",89,0.114
"91",90,0.113
"92",91,0.116
"93",92,0.102
"94",93,0.096
"95",94,0.102
"96",95,0.118
"97",96,0.108
"98",97,0.113
"99",98,0.098
"100",99,0.099
"101",100,0.114
