"","krok","proc_chorych"
"1",0,0.056
"2",1,0.209
"3",2,0.347
"4",3,0.429
"5",4,0.478
"6",5,0.52
"7",6,0.552
"8",7,0.594
"9",8,0.625
"10",9,0.639
"11",10,0.639
"12",11,0.653
"13",12,0.623
"14",13,0.633
"15",14,0.63
"16",15,0.639
"17",16,0.642
"18",17,0.653
"19",18,0.655
"20",19,0.65
"21",20,0.653
"22",21,0.669
"23",22,0.648
"24",23,0.676
"25",24,0.66
"26",25,0.666
"27",26,0.664
"28",27,0.655
"29",28,0.655
"30",29,0.65
"31",30,0.652
"32",31,0.655
"33",32,0.649
"34",33,0.652
"35",34,0.653
"36",35,0.639
"37",36,0.641
"38",37,0.663
"39",38,0.662
"40",39,0.646
"41",40,0.638
"42",41,0.625
"43",42,0.632
"44",43,0.622
"45",44,0.614
"46",45,0.616
"47",46,0.616
"48",47,0.636
"49",48,0.612
"50",49,0.621
"51",50,0.636
"52",51,0.652
"53",52,0.662
"54",53,0.668
"55",54,0.661
"56",55,0.666
"57",56,0.637
"58",57,0.652
"59",58,0.664
"60",59,0.654
"61",60,0.639
"62",61,0.634
"63",62,0.625
"64",63,0.629
"65",64,0.645
"66",65,0.624
"67",66,0.641
"68",67,0.645
"69",68,0.674
"70",69,0.671
"71",70,0.665
"72",71,0.672
"73",72,0.672
"74",73,0.679
"75",74,0.657
"76",75,0.653
"77",76,0.672
"78",77,0.669
"79",78,0.674
"80",79,0.682
"81",80,0.676
"82",81,0.667
"83",82,0.66
"84",83,0.663
"85",84,0.666
"86",85,0.651
"87",86,0.648
"88",87,0.655
"89",88,0.657
"90",89,0.635
"91",90,0.64
"92",91,0.639
"93",92,0.628
"94",93,0.615
"95",94,0.614
"96",95,0.651
"97",96,0.653
"98",97,0.667
"99",98,0.654
"100",99,0.647
"101",100,0.649
