krok,proc_chorych
0.0,0.043
1.0,0.065
2.0,0.095
3.0,0.116
4.0,0.155
5.0,0.178
6.0,0.217
7.0,0.249
8.0,0.273
9.0,0.269
10.0,0.271
11.0,0.297
12.0,0.314
13.0,0.334
14.0,0.352
15.0,0.357
16.0,0.367
17.0,0.361
18.0,0.365
19.0,0.366
20.0,0.386
21.0,0.392
22.0,0.405
23.0,0.411
24.0,0.403
25.0,0.403
26.0,0.405
27.0,0.41
28.0,0.416
29.0,0.421
30.0,0.42
31.0,0.425
32.0,0.429
33.0,0.442
34.0,0.465
35.0,0.464
36.0,0.464
37.0,0.465
38.0,0.483
39.0,0.477
40.0,0.475
41.0,0.489
42.0,0.495
43.0,0.493
44.0,0.489
45.0,0.472
46.0,0.484
47.0,0.49
48.0,0.494
49.0,0.471
50.0,0.475
51.0,0.461
52.0,0.465
53.0,0.475
54.0,0.465
55.0,0.452
56.0,0.442
57.0,0.445
58.0,0.456
59.0,0.471
60.0,0.469
61.0,0.479
62.0,0.49
63.0,0.474
64.0,0.451
65.0,0.473
66.0,0.479
67.0,0.504
68.0,0.491
69.0,0.498
70.0,0.495
71.0,0.512
72.0,0.525
73.0,0.517
74.0,0.503
75.0,0.464
76.0,0.445
77.0,0.439
78.0,0.437
79.0,0.457
80.0,0.47
81.0,0.468
82.0,0.469
83.0,0.481
84.0,0.493
85.0,0.473
86.0,0.481
87.0,0.466
88.0,0.478
89.0,0.486
90.0,0.493
91.0,0.496
92.0,0.494
93.0,0.488
94.0,0.483
95.0,0.5
96.0,0.49
97.0,0.457
98.0,0.458
99.0,0.452
100.0,0.466
