krok,proc_chorych
0.0,0.055
1.0,0.065
2.0,0.058
3.0,0.057
4.0,0.057
5.0,0.07
6.0,0.078
7.0,0.079
8.0,0.08
9.0,0.083
10.0,0.106
11.0,0.113
12.0,0.115
13.0,0.132
14.0,0.12
15.0,0.134
16.0,0.144
17.0,0.133
18.0,0.14
19.0,0.153
20.0,0.168
21.0,0.155
22.0,0.145
23.0,0.156
24.0,0.145
25.0,0.141
26.0,0.153
27.0,0.153
28.0,0.157
29.0,0.154
30.0,0.154
31.0,0.167
32.0,0.149
33.0,0.171
34.0,0.171
35.0,0.163
36.0,0.158
37.0,0.131
38.0,0.131
39.0,0.149
40.0,0.149
41.0,0.145
42.0,0.135
43.0,0.147
44.0,0.147
45.0,0.165
46.0,0.155
47.0,0.161
48.0,0.187
49.0,0.168
50.0,0.162
51.0,0.141
52.0,0.154
53.0,0.153
54.0,0.155
55.0,0.171
56.0,0.168
57.0,0.155
58.0,0.136
59.0,0.157
60.0,0.161
61.0,0.161
62.0,0.158
63.0,0.146
64.0,0.146
65.0,0.145
66.0,0.146
67.0,0.136
68.0,0.116
69.0,0.117
70.0,0.098
71.0,0.106
72.0,0.123
73.0,0.123
74.0,0.113
75.0,0.104
76.0,0.123
77.0,0.131
78.0,0.121
79.0,0.12
80.0,0.14
81.0,0.119
82.0,0.129
83.0,0.127
84.0,0.115
85.0,0.098
86.0,0.097
87.0,0.1
88.0,0.116
89.0,0.115
90.0,0.096
91.0,0.107
92.0,0.115
93.0,0.118
94.0,0.119
95.0,0.132
96.0,0.148
97.0,0.146
98.0,0.142
99.0,0.142
100.0,0.17
