krok,proc_chorych
0.0,0.052
1.0,0.065
2.0,0.096
3.0,0.113
4.0,0.135
5.0,0.155
6.0,0.165
7.0,0.178
8.0,0.198
9.0,0.214
10.0,0.216
11.0,0.245
12.0,0.233
13.0,0.247
14.0,0.261
15.0,0.28
16.0,0.301
17.0,0.316
18.0,0.316
19.0,0.337
20.0,0.347
21.0,0.344
22.0,0.339
23.0,0.336
24.0,0.343
25.0,0.346
26.0,0.35
27.0,0.351
28.0,0.36
29.0,0.366
30.0,0.372
31.0,0.382
32.0,0.392
33.0,0.403
34.0,0.402
35.0,0.419
36.0,0.435
37.0,0.437
38.0,0.462
39.0,0.447
40.0,0.466
41.0,0.468
42.0,0.471
43.0,0.492
44.0,0.5
45.0,0.511
46.0,0.505
47.0,0.512
48.0,0.515
49.0,0.509
50.0,0.515
51.0,0.498
52.0,0.524
53.0,0.537
54.0,0.536
55.0,0.545
56.0,0.529
57.0,0.529
58.0,0.53
59.0,0.542
60.0,0.522
61.0,0.517
62.0,0.513
63.0,0.523
64.0,0.522
65.0,0.509
66.0,0.499
67.0,0.495
68.0,0.492
69.0,0.49
70.0,0.502
71.0,0.489
72.0,0.493
73.0,0.484
74.0,0.497
75.0,0.507
76.0,0.498
77.0,0.487
78.0,0.496
79.0,0.492
80.0,0.496
81.0,0.487
82.0,0.481
83.0,0.47
84.0,0.481
85.0,0.483
86.0,0.487
87.0,0.496
88.0,0.501
89.0,0.492
90.0,0.486
91.0,0.484
92.0,0.487
93.0,0.489
94.0,0.475
95.0,0.472
96.0,0.463
97.0,0.461
98.0,0.457
99.0,0.451
100.0,0.452
