krok,proc_chorych
0.0,0.041
1.0,0.064
2.0,0.078
3.0,0.094
4.0,0.124
5.0,0.161
6.0,0.212
7.0,0.252
8.0,0.286
9.0,0.337
10.0,0.384
11.0,0.426
12.0,0.464
13.0,0.502
14.0,0.534
15.0,0.574
16.0,0.612
17.0,0.647
18.0,0.675
19.0,0.708
20.0,0.743
21.0,0.771
22.0,0.792
23.0,0.814
24.0,0.834
25.0,0.86
26.0,0.873
27.0,0.884
28.0,0.901
29.0,0.911
30.0,0.924
31.0,0.928
32.0,0.936
33.0,0.943
34.0,0.947
35.0,0.953
36.0,0.959
37.0,0.961
38.0,0.969
39.0,0.971
40.0,0.975
41.0,0.977
42.0,0.978
43.0,0.979
44.0,0.981
45.0,0.986
46.0,0.987
47.0,0.99
48.0,0.992
49.0,0.994
50.0,0.997
51.0,0.998
52.0,0.998
53.0,0.998
54.0,0.999
55.0,0.999
56.0,0.999
57.0,0.999
58.0,0.999
59.0,0.999
60.0,0.999
61.0,1.0
62.0,1.0
63.0,1.0
64.0,1.0
65.0,1.0
66.0,1.0
67.0,1.0
68.0,1.0
69.0,1.0
70.0,1.0
71.0,1.0
72.0,1.0
73.0,1.0
74.0,1.0
75.0,1.0
76.0,1.0
77.0,1.0
78.0,1.0
79.0,1.0
80.0,1.0
81.0,1.0
82.0,1.0
83.0,1.0
84.0,1.0
85.0,1.0
86.0,1.0
87.0,1.0
88.0,1.0
89.0,1.0
90.0,1.0
91.0,1.0
92.0,1.0
93.0,1.0
94.0,1.0
95.0,1.0
96.0,1.0
97.0,1.0
98.0,1.0
99.0,1.0
100.0,1.0
