krok,proc_chorych
0.0,0.069
1.0,0.096
2.0,0.115
3.0,0.131
4.0,0.142
5.0,0.155
6.0,0.188
7.0,0.21
8.0,0.222
9.0,0.206
10.0,0.205
11.0,0.213
12.0,0.234
13.0,0.228
14.0,0.224
15.0,0.246
16.0,0.226
17.0,0.223
18.0,0.221
19.0,0.23
20.0,0.22
21.0,0.225
22.0,0.218
23.0,0.231
24.0,0.24
25.0,0.259
26.0,0.259
27.0,0.244
28.0,0.227
29.0,0.229
30.0,0.233
31.0,0.225
32.0,0.211
33.0,0.242
34.0,0.247
35.0,0.228
36.0,0.235
37.0,0.236
38.0,0.236
39.0,0.212
40.0,0.218
41.0,0.226
42.0,0.237
43.0,0.228
44.0,0.241
45.0,0.26
46.0,0.286
47.0,0.29
48.0,0.269
49.0,0.25
50.0,0.235
51.0,0.221
52.0,0.204
53.0,0.202
54.0,0.215
55.0,0.241
56.0,0.214
57.0,0.196
58.0,0.215
59.0,0.241
60.0,0.222
61.0,0.227
62.0,0.246
63.0,0.252
64.0,0.227
65.0,0.232
66.0,0.254
67.0,0.262
68.0,0.252
69.0,0.258
70.0,0.265
71.0,0.257
72.0,0.246
73.0,0.235
74.0,0.242
75.0,0.244
76.0,0.241
77.0,0.209
78.0,0.221
79.0,0.235
80.0,0.219
81.0,0.229
82.0,0.252
83.0,0.273
84.0,0.255
85.0,0.249
86.0,0.272
87.0,0.275
88.0,0.285
89.0,0.282
90.0,0.257
91.0,0.227
92.0,0.231
93.0,0.241
94.0,0.228
95.0,0.225
96.0,0.224
97.0,0.216
98.0,0.216
99.0,0.215
100.0,0.22
