"","krok","proc_chorych"
"1",0,0.037
"2",1,0.066
"3",2,0.081
"4",3,0.07
"5",4,0.074
"6",5,0.066
"7",6,0.062
"8",7,0.064
"9",8,0.077
"10",9,0.067
"11",10,0.07
"12",11,0.067
"13",12,0.082
"14",13,0.079
"15",14,0.077
"16",15,0.088
"17",16,0.068
"18",17,0.069
"19",18,0.073
"20",19,0.055
"21",20,0.061
"22",21,0.062
"23",22,0.069
"24",23,0.064
"25",24,0.078
"26",25,0.073
"27",26,0.064
"28",27,0.068
"29",28,0.059
"30",29,0.07
"31",30,0.067
"32",31,0.067
"33",32,0.082
"34",33,0.065
"35",34,0.085
"36",35,0.078
"37",36,0.065
"38",37,0.061
"39",38,0.066
"40",39,0.06
"41",40,0.058
"42",41,0.067
"43",42,0.06
"44",43,0.063
"45",44,0.066
"46",45,0.076
"47",46,0.056
"48",47,0.073
"49",48,0.068
"50",49,0.082
"51",50,0.065
"52",51,0.068
"53",52,0.068
"54",53,0.057
"55",54,0.07
"56",55,0.075
"57",56,0.074
"58",57,0.081
"59",58,0.066
"60",59,0.062
"61",60,0.06
"62",61,0.064
"63",62,0.072
"64",63,0.057
"65",64,0.058
"66",65,0.055
"67",66,0.064
"68",67,0.064
"69",68,0.065
"70",69,0.069
"71",70,0.074
"72",71,0.08
"73",72,0.075
"74",73,0.062
"75",74,0.073
"76",75,0.071
"77",76,0.067
"78",77,0.063
"79",78,0.067
"80",79,0.068
"81",80,0.06
"82",81,0.062
"83",82,0.075
"84",83,0.077
"85",84,0.049
"86",85,0.066
"87",86,0.063
"88",87,0.076
"89",88,0.081
"90",89,0.074
"91",90,0.071
"92",91,0.079
"93",92,0.075
"94",93,0.061
"95",94,0.082
"96",95,0.06
"97",96,0.064
"98",97,0.07
"99",98,0.069
"100",99,0.074
"101",100,0.057
