krok,proc_chorych
0.0,0.049
1.0,0.038
2.0,0.04
3.0,0.033
4.0,0.033
5.0,0.027
6.0,0.025
7.0,0.025
8.0,0.025
9.0,0.022
10.0,0.019
11.0,0.016
12.0,0.014
13.0,0.012
14.0,0.016
15.0,0.013
16.0,0.013
17.0,0.014
18.0,0.01
19.0,0.013
20.0,0.013
21.0,0.011
22.0,0.011
23.0,0.009
24.0,0.01
25.0,0.011
26.0,0.015
27.0,0.015
28.0,0.014
29.0,0.013
30.0,0.01
31.0,0.008
32.0,0.007
33.0,0.004
34.0,0.004
35.0,0.004
36.0,0.004
37.0,0.005
38.0,0.003
39.0,0.003
40.0,0.004
41.0,0.005
42.0,0.006
43.0,0.009
44.0,0.008
45.0,0.003
46.0,0.004
47.0,0.006
48.0,0.007
49.0,0.007
50.0,0.006
51.0,0.004
52.0,0.006
53.0,0.007
54.0,0.005
55.0,0.006
56.0,0.008
57.0,0.007
58.0,0.009
59.0,0.008
60.0,0.006
61.0,0.007
62.0,0.006
63.0,0.007
64.0,0.01
65.0,0.021
66.0,0.018
67.0,0.02
68.0,0.023
69.0,0.022
70.0,0.021
71.0,0.019
72.0,0.016
73.0,0.011
74.0,0.014
75.0,0.012
76.0,0.014
77.0,0.013
78.0,0.013
79.0,0.012
80.0,0.011
81.0,0.012
82.0,0.01
83.0,0.011
84.0,0.015
85.0,0.017
86.0,0.014
87.0,0.014
88.0,0.011
89.0,0.012
90.0,0.009
91.0,0.01
92.0,0.012
93.0,0.012
94.0,0.011
95.0,0.01
96.0,0.008
97.0,0.008
98.0,0.008
99.0,0.006
100.0,0.005
