krok,proc_chorych
0.0,0.054
1.0,0.065
2.0,0.09
3.0,0.112
4.0,0.165
5.0,0.221
6.0,0.259
7.0,0.315
8.0,0.357
9.0,0.384
10.0,0.402
11.0,0.44
12.0,0.483
13.0,0.515
14.0,0.556
15.0,0.579
16.0,0.585
17.0,0.59
18.0,0.581
19.0,0.591
20.0,0.617
21.0,0.619
22.0,0.624
23.0,0.624
24.0,0.62
25.0,0.612
26.0,0.606
27.0,0.597
28.0,0.613
29.0,0.618
30.0,0.625
31.0,0.628
32.0,0.632
33.0,0.617
34.0,0.627
35.0,0.639
36.0,0.643
37.0,0.634
38.0,0.642
39.0,0.648
40.0,0.647
41.0,0.642
42.0,0.638
43.0,0.637
44.0,0.645
45.0,0.645
46.0,0.655
47.0,0.666
48.0,0.661
49.0,0.66
50.0,0.661
51.0,0.668
52.0,0.668
53.0,0.694
54.0,0.696
55.0,0.702
56.0,0.696
57.0,0.685
58.0,0.663
59.0,0.656
60.0,0.648
61.0,0.658
62.0,0.659
63.0,0.654
64.0,0.646
65.0,0.638
66.0,0.621
67.0,0.65
68.0,0.65
69.0,0.644
70.0,0.656
71.0,0.664
72.0,0.653
73.0,0.635
74.0,0.639
75.0,0.639
76.0,0.635
77.0,0.633
78.0,0.635
79.0,0.638
80.0,0.656
81.0,0.647
82.0,0.656
83.0,0.647
84.0,0.638
85.0,0.635
86.0,0.635
87.0,0.632
88.0,0.633
89.0,0.647
90.0,0.652
91.0,0.63
92.0,0.628
93.0,0.632
94.0,0.634
95.0,0.646
96.0,0.629
97.0,0.621
98.0,0.636
99.0,0.648
100.0,0.656
