"","krok","proc_chorych"
"1",0,0.046
"2",1,0.04
"3",2,0.035
"4",3,0.042
"5",4,0.032
"6",5,0.036
"7",6,0.034
"8",7,0.033
"9",8,0.04
"10",9,0.031
"11",10,0.031
"12",11,0.037
"13",12,0.036
"14",13,0.039
"15",14,0.045
"16",15,0.035
"17",16,0.041
"18",17,0.038
"19",18,0.045
"20",19,0.042
"21",20,0.038
"22",21,0.034
"23",22,0.032
"24",23,0.044
"25",24,0.046
"26",25,0.045
"27",26,0.04
"28",27,0.043
"29",28,0.044
"30",29,0.042
"31",30,0.05
"32",31,0.04
"33",32,0.052
"34",33,0.04
"35",34,0.041
"36",35,0.044
"37",36,0.039
"38",37,0.037
"39",38,0.031
"40",39,0.042
"41",40,0.04
"42",41,0.029
"43",42,0.038
"44",43,0.041
"45",44,0.04
"46",45,0.044
"47",46,0.048
"48",47,0.038
"49",48,0.041
"50",49,0.035
"51",50,0.04
"52",51,0.036
"53",52,0.032
"54",53,0.032
"55",54,0.035
"56",55,0.034
"57",56,0.038
"58",57,0.037
"59",58,0.044
"60",59,0.036
"61",60,0.042
"62",61,0.039
"63",62,0.044
"64",63,0.039
"65",64,0.053
"66",65,0.041
"67",66,0.039
"68",67,0.052
"69",68,0.05
"70",69,0.051
"71",70,0.044
"72",71,0.032
"73",72,0.031
"74",73,0.036
"75",74,0.052
"76",75,0.038
"77",76,0.043
"78",77,0.037
"79",78,0.028
"80",79,0.028
"81",80,0.027
"82",81,0.039
"83",82,0.039
"84",83,0.042
"85",84,0.043
"86",85,0.033
"87",86,0.039
"88",87,0.045
"89",88,0.035
"90",89,0.048
"91",90,0.041
"92",91,0.033
"93",92,0.046
"94",93,0.052
"95",94,0.049
"96",95,0.032
"97",96,0.029
"98",97,0.032
"99",98,0.038
"100",99,0.038
"101",100,0.039
