"","krok","proc_chorych"
"1",0,0.051
"2",1,0.137
"3",2,0.215
"4",3,0.302
"5",4,0.383
"6",5,0.443
"7",6,0.508
"8",7,0.543
"9",8,0.59
"10",9,0.636
"11",10,0.673
"12",11,0.708
"13",12,0.736
"14",13,0.753
"15",14,0.779
"16",15,0.794
"17",16,0.818
"18",17,0.841
"19",18,0.856
"20",19,0.867
"21",20,0.872
"22",21,0.889
"23",22,0.896
"24",23,0.907
"25",24,0.915
"26",25,0.924
"27",26,0.926
"28",27,0.931
"29",28,0.937
"30",29,0.941
"31",30,0.943
"32",31,0.95
"33",32,0.952
"34",33,0.958
"35",34,0.968
"36",35,0.97
"37",36,0.973
"38",37,0.977
"39",38,0.982
"40",39,0.982
"41",40,0.985
"42",41,0.986
"43",42,0.989
"44",43,0.99
"45",44,0.991
"46",45,0.992
"47",46,0.992
"48",47,0.992
"49",48,0.992
"50",49,0.992
"51",50,0.993
"52",51,0.993
"53",52,0.993
"54",53,0.993
"55",54,0.993
"56",55,0.993
"57",56,0.994
"58",57,0.994
"59",58,0.994
"60",59,0.996
"61",60,0.996
"62",61,0.997
"63",62,0.997
"64",63,0.997
"65",64,0.998
"66",65,0.998
"67",66,0.998
"68",67,0.999
"69",68,0.999
"70",69,0.999
"71",70,0.999
"72",71,0.999
"73",72,1
"74",73,1
"75",74,1
"76",75,1
"77",76,1
"78",77,1
"79",78,1
"80",79,1
"81",80,1
"82",81,1
"83",82,1
"84",83,1
"85",84,1
"86",85,1
"87",86,1
"88",87,1
"89",88,1
"90",89,1
"91",90,1
"92",91,1
"93",92,1
"94",93,1
"95",94,1
"96",95,1
"97",96,1
"98",97,1
"99",98,1
"100",99,1
"101",100,1
