"","krok","proc_chorych"
"1",0,0.057
"2",1,0.177
"3",2,0.189
"4",3,0.206
"5",4,0.212
"6",5,0.248
"7",6,0.253
"8",7,0.257
"9",8,0.238
"10",9,0.244
"11",10,0.236
"12",11,0.248
"13",12,0.229
"14",13,0.229
"15",14,0.225
"16",15,0.233
"17",16,0.248
"18",17,0.243
"19",18,0.251
"20",19,0.237
"21",20,0.229
"22",21,0.243
"23",22,0.255
"24",23,0.218
"25",24,0.217
"26",25,0.229
"27",26,0.233
"28",27,0.236
"29",28,0.227
"30",29,0.229
"31",30,0.232
"32",31,0.234
"33",32,0.225
"34",33,0.224
"35",34,0.219
"36",35,0.219
"37",36,0.202
"38",37,0.209
"39",38,0.209
"40",39,0.214
"41",40,0.232
"42",41,0.244
"43",42,0.25
"44",43,0.251
"45",44,0.232
"46",45,0.226
"47",46,0.217
"48",47,0.233
"49",48,0.268
"50",49,0.23
"51",50,0.218
"52",51,0.23
"53",52,0.239
"54",53,0.223
"55",54,0.237
"56",55,0.246
"57",56,0.245
"58",57,0.246
"59",58,0.237
"60",59,0.23
"61",60,0.23
"62",61,0.234
"63",62,0.226
"64",63,0.227
"65",64,0.228
"66",65,0.201
"67",66,0.245
"68",67,0.232
"69",68,0.218
"70",69,0.213
"71",70,0.225
"72",71,0.208
"73",72,0.224
"74",73,0.233
"75",74,0.199
"76",75,0.209
"77",76,0.247
"78",77,0.237
"79",78,0.228
"80",79,0.229
"81",80,0.235
"82",81,0.258
"83",82,0.254
"84",83,0.236
"85",84,0.215
"86",85,0.231
"87",86,0.233
"88",87,0.24
"89",88,0.236
"90",89,0.247
"91",90,0.241
"92",91,0.239
"93",92,0.243
"94",93,0.212
"95",94,0.214
"96",95,0.213
"97",96,0.202
"98",97,0.216
"99",98,0.218
"100",99,0.248
"101",100,0.219
