krok,proc_chorych
0.0,0.045
1.0,0.053
2.0,0.082
3.0,0.112
4.0,0.171
5.0,0.236
6.0,0.278
7.0,0.294
8.0,0.342
9.0,0.355
10.0,0.403
11.0,0.413
12.0,0.398
13.0,0.419
14.0,0.424
15.0,0.436
16.0,0.44
17.0,0.43
18.0,0.469
19.0,0.457
20.0,0.45
21.0,0.445
22.0,0.441
23.0,0.465
24.0,0.469
25.0,0.488
26.0,0.477
27.0,0.487
28.0,0.49
29.0,0.475
30.0,0.483
31.0,0.498
32.0,0.503
33.0,0.484
34.0,0.481
35.0,0.457
36.0,0.449
37.0,0.488
38.0,0.496
39.0,0.489
40.0,0.491
41.0,0.495
42.0,0.487
43.0,0.491
44.0,0.485
45.0,0.497
46.0,0.504
47.0,0.497
48.0,0.509
49.0,0.521
50.0,0.505
51.0,0.502
52.0,0.493
53.0,0.467
54.0,0.466
55.0,0.47
56.0,0.506
57.0,0.54
58.0,0.538
59.0,0.538
60.0,0.518
61.0,0.496
62.0,0.499
63.0,0.504
64.0,0.513
65.0,0.491
66.0,0.492
67.0,0.505
68.0,0.52
69.0,0.503
70.0,0.524
71.0,0.476
72.0,0.477
73.0,0.468
74.0,0.498
75.0,0.493
76.0,0.508
77.0,0.52
78.0,0.498
79.0,0.514
80.0,0.525
81.0,0.521
82.0,0.498
83.0,0.494
84.0,0.502
85.0,0.501
86.0,0.501
87.0,0.519
88.0,0.501
89.0,0.498
90.0,0.482
91.0,0.492
92.0,0.491
93.0,0.482
94.0,0.49
95.0,0.503
96.0,0.473
97.0,0.451
98.0,0.482
99.0,0.488
100.0,0.522
