"","krok","proc_chorych"
"1",0,0.047
"2",1,0.307
"3",2,0.458
"4",3,0.558
"5",4,0.61
"6",5,0.654
"7",6,0.684
"8",7,0.702
"9",8,0.727
"10",9,0.709
"11",10,0.691
"12",11,0.69
"13",12,0.708
"14",13,0.727
"15",14,0.719
"16",15,0.747
"17",16,0.755
"18",17,0.74
"19",18,0.747
"20",19,0.744
"21",20,0.743
"22",21,0.747
"23",22,0.742
"24",23,0.741
"25",24,0.744
"26",25,0.741
"27",26,0.742
"28",27,0.734
"29",28,0.724
"30",29,0.744
"31",30,0.74
"32",31,0.717
"33",32,0.72
"34",33,0.717
"35",34,0.715
"36",35,0.708
"37",36,0.712
"38",37,0.726
"39",38,0.716
"40",39,0.731
"41",40,0.724
"42",41,0.735
"43",42,0.723
"44",43,0.729
"45",44,0.736
"46",45,0.718
"47",46,0.73
"48",47,0.728
"49",48,0.731
"50",49,0.73
"51",50,0.74
"52",51,0.73
"53",52,0.713
"54",53,0.713
"55",54,0.73
"56",55,0.718
"57",56,0.727
"58",57,0.731
"59",58,0.733
"60",59,0.723
"61",60,0.735
"62",61,0.714
"63",62,0.721
"64",63,0.734
"65",64,0.727
"66",65,0.718
"67",66,0.707
"68",67,0.714
"69",68,0.718
"70",69,0.727
"71",70,0.732
"72",71,0.728
"73",72,0.744
"74",73,0.716
"75",74,0.731
"76",75,0.739
"77",76,0.72
"78",77,0.726
"79",78,0.733
"80",79,0.74
"81",80,0.744
"82",81,0.715
"83",82,0.712
"84",83,0.722
"85",84,0.739
"86",85,0.746
"87",86,0.751
"88",87,0.747
"89",88,0.744
"90",89,0.718
"91",90,0.733
"92",91,0.722
"93",92,0.726
"94",93,0.73
"95",94,0.724
"96",95,0.735
"97",96,0.732
"98",97,0.717
"99",98,0.708
"100",99,0.713
"101",100,0.706
