"","krok","proc_chorych"
"1",0,0.054
"2",1,0.105
"3",2,0.129
"4",3,0.144
"5",4,0.157
"6",5,0.17
"7",6,0.178
"8",7,0.182
"9",8,0.174
"10",9,0.191
"11",10,0.195
"12",11,0.189
"13",12,0.185
"14",13,0.174
"15",14,0.176
"16",15,0.167
"17",16,0.151
"18",17,0.178
"19",18,0.194
"20",19,0.178
"21",20,0.185
"22",21,0.179
"23",22,0.184
"24",23,0.2
"25",24,0.205
"26",25,0.192
"27",26,0.188
"28",27,0.199
"29",28,0.192
"30",29,0.182
"31",30,0.202
"32",31,0.179
"33",32,0.187
"34",33,0.189
"35",34,0.188
"36",35,0.171
"37",36,0.184
"38",37,0.185
"39",38,0.185
"40",39,0.183
"41",40,0.185
"42",41,0.175
"43",42,0.181
"44",43,0.184
"45",44,0.196
"46",45,0.21
"47",46,0.197
"48",47,0.192
"49",48,0.186
"50",49,0.195
"51",50,0.188
"52",51,0.198
"53",52,0.206
"54",53,0.197
"55",54,0.197
"56",55,0.191
"57",56,0.187
"58",57,0.178
"59",58,0.183
"60",59,0.194
"61",60,0.189
"62",61,0.195
"63",62,0.184
"64",63,0.204
"65",64,0.2
"66",65,0.203
"67",66,0.197
"68",67,0.188
"69",68,0.194
"70",69,0.188
"71",70,0.194
"72",71,0.197
"73",72,0.208
"74",73,0.204
"75",74,0.212
"76",75,0.192
"77",76,0.187
"78",77,0.212
"79",78,0.204
"80",79,0.216
"81",80,0.224
"82",81,0.206
"83",82,0.198
"84",83,0.202
"85",84,0.203
"86",85,0.199
"87",86,0.181
"88",87,0.19
"89",88,0.189
"90",89,0.179
"91",90,0.192
"92",91,0.183
"93",92,0.186
"94",93,0.178
"95",94,0.179
"96",95,0.18
"97",96,0.175
"98",97,0.171
"99",98,0.176
"100",99,0.174
"101",100,0.189
